date,open,high,low,close,volume,ticker,market_cap,log_ret_1d,log_ret_5d,log_ret_10d,vol_7d,vol_30d,risk_adj_ret_1d,vol_ratio_7d_30d,drawdown_30d
2021-09-08,1.4000000192027072e-05,1.4999999621068127e-05,1.2000000424450263e-05,1.4000000192027072e-05,3409932,FLOKI-USD,,0.0,-0.3053815914255798,0.24116206272269766,0.26431152242530603,0.20563433670642378,0.0,1.2853472170975677,-0.4166666792985372
2021-09-09,1.4000000192027072e-05,1.4000000192027072e-05,1.2000000424450263e-05,1.4000000192027072e-05,2299571,FLOKI-USD,,0.0,-0.3566749049603879,0.24116206272269766,0.16839868300378036,0.2043013208153279,0.0,0.8242662471869153,-0.4166666792985372
2021-09-10,1.4000000192027072e-05,1.8000000636675395e-05,1.4000000192027072e-05,1.4999999621068127e-05,2943946,FLOKI-USD,,0.06899283250860706,-0.2876820724517809,-0.1823216174269344,0.11080612701389365,0.20167046015140752,0.3421067837937669,0.5494415341280229,-0.3750000378956112
2021-09-11,1.4999999621068127e-05,1.700000029813964e-05,1.2999999853491316e-05,1.700000029813964e-05,2355719,FLOKI-USD,,0.12516318575375684,-0.05715843167317757,-0.3448405041249585,0.12309374061604339,0.19826387131537493,0.6312959841012179,0.6208581513080631,-0.29166667929853707
2021-09-12,1.700000029813964e-05,4.099999932805076e-05,1.5999999959603883e-05,3.700000161188655e-05,22272399,FLOKI-USD,,0.7777045946148831,0.9718606128772471,0.9718606128772471,0.32798507826887874,0.23861245545344803,3.259279123283692,1.3745513730437546,0.0
2021-09-13,3.700000161188655e-05,4.3000000005122274e-05,2.5999999706982635e-05,3.9999998989515007e-05,28132798,FLOKI-USD,,0.07796147264308614,1.0498220855203333,0.7444404940947533,0.3171223309510667,0.23835366746890208,0.32708316792842196,1.3304696937060618,0.0
2021-09-14,3.9999998989515007e-05,4.70000013592653e-05,3.300000025774352e-05,4.3000000005122274e-05,23571346,FLOKI-USD,,0.07232068696087386,1.1221427724812072,0.7654678675208192,0.27588409412620823,0.2380575747301917,0.3037949413827317,1.1588965166888225,0.0
2021-09-15,4.3000000005122274e-05,5.400000009103678e-05,4.3000000005122274e-05,4.8999998398358e-05,20374514,FLOKI-USD,,0.13062014961136964,1.1837700895839698,0.8960880171321889,0.2675250869282468,0.23363240178081374,0.5590840509096558,1.1450684275344225,0.0
2021-09-16,4.8999998398358e-05,7.000000186963007e-05,4.600000102072954e-05,6.199999916134402e-05,29632796,FLOKI-USD,,0.23531410609432749,1.2939210099245404,1.236762578251363,0.25581694657702775,0.23493658195376507,1.001606919354248,1.0888766000152836,0.0
2021-09-17,6.199999916134402e-05,6.199999916134402e-05,5.199999941396527e-05,5.600000076810829e-05,17237957,FLOKI-USD,,-0.10178266706701362,0.4144337482426437,1.3862943611198906,0.27889513534197946,0.2369169048133883,-0.4296133580977875,1.177185459018452,-0.09677416894187052
2021-09-18,5.600000076810829e-05,5.700000110664405e-05,4.5000000682193786e-05,5.299999975250103e-05,10191734,FLOKI-USD,,-0.05505979556903852,0.28141248003051883,1.3312345655508522,0.2936129966003246,0.23777397870901093,-0.23156358768938712,1.2348407432743083,-0.14516128275134466
2021-09-19,5.299999975250103e-05,5.400000009103678e-05,4.5000000682193786e-05,4.600000102072954e-05,6951123,FLOKI-USD,,-0.14165049020346257,0.06744130286618236,1.1895840753473894,0.13566309331367937,0.24077804379769327,-0.5883031856612319,0.5634363132697694,-0.2580644896297065
2021-09-20,4.600000102072954e-05,4.600000102072954e-05,3.199999991920777e-05,3.7999998312443495e-05,8838136,FLOKI-USD,,-0.19105530336186435,-0.2542341501070516,0.9295359394769181,0.15665623659184388,0.2452865570103526,-0.7789065397244769,0.6386662135146364,-0.38709679312163814
2021-09-21,3.7999998312443495e-05,3.899999865097925e-05,2.5999999706982635e-05,2.9000000722589903e-05,8664140,FLOKI-USD,,-0.2702902604136362,-0.7598385166150152,0.5340824933095252,0.17948243384572313,0.25270719515508133,-1.0695788073931354,0.710238716137775,-0.5322580465344438
2021-09-22,2.9000000722589903e-05,4.5000000682193786e-05,2.9000000722589903e-05,4.400000034365803e-05,7727112,FLOKI-USD,,0.41689378682530404,-0.24116206272269766,0.17327168551994598,0.24850665930305527,0.26070977029761955,1.599072356779682,0.9531927361961405,-0.2903225655026894
2021-09-23,4.400000034365803e-05,4.600000102072954e-05,3.899999865097925e-05,4.199999966658652e-05,5287725,FLOKI-USD,,-0.046520031383718866,-0.23262229853737793,0.048790181493140926,0.222602290701135,0.2557505302846091,-0.1818961287468283,0.8703883837637191,-0.32258064137567233
2021-09-24,4.199999966658652e-05,4.600000102072954e-05,3.199999991920777e-05,4.5000000682193786e-05,6104185,FLOKI-USD,,0.06899289458522943,-0.021978913748685852,0.04546238911749643,0.22603385461721937,0.254286085297217,0.2713199760993155,0.8888958841496355,-0.27419352756619797
2021-09-25,4.5000000682193786e-05,4.600000102072954e-05,3.7999998312443495e-05,4.199999966658652e-05,4762269,FLOKI-USD,,-0.06899289458522952,0.10008349502794901,-0.15415065507910267,0.22633969652185257,0.25470791196623194,-0.27087063787157223,0.8886245220048747,-0.32258064137567233
2021-09-26,4.199999966658652e-05,4.400000034365803e-05,3.7999998312443495e-05,4.199999966658652e-05,3078873,FLOKI-USD,,0.0,0.37037375544158513,-0.38946476117343004,0.22130720296566872,0.25470791196623194,0.0,0.8688666216030567,-0.32258064137567233
2021-09-27,4.199999966658652e-05,5.900000178371556e-05,4.199999966658652e-05,5.700000110664405e-05,7044106,FLOKI-USD,,0.3053816769044059,0.25886164552068697,0.0176995827979892,0.23392070397046855,0.25526172759067894,1.1963472933713588,0.9163955214843978,-0.08064513100537896
2021-09-28,5.700000110664405e-05,5.999999848427251e-05,4.999999873689376e-05,4.999999873689376e-05,10570583,FLOKI-USD,,-0.1310283070833369,0.17435336982106892,-0.05826892871630907,0.20555668507190178,0.2530816678754639,-0.5177313243715983,0.8122148348297272,-0.19354839656081912
2021-09-29,4.999999873689376e-05,5.199999941396527e-05,4.600000102072954e-05,4.70000013592653e-05,6220188,FLOKI-USD,,-0.06187534953542449,0.0434851257004148,0.021506211951728908,0.14452081931651542,0.2537583931085786,-0.24383567683197438,0.5695213369934825,-0.24193545169321506
2021-09-30,4.600000102072954e-05,4.999999873689376e-05,4.600000102072954e-05,4.8999998398358e-05,3641503,FLOKI-USD,,0.04167263479345821,0.15415065507910272,0.2542341501070516,0.14266333338634862,0.23950243642949556,0.17399670506369044,0.5956654784526406,-0.20967743449731058
2021-10-01,4.8999998398358e-05,5.400000009103678e-05,4.8000001697801054e-05,4.8999998398358e-05,3718691,FLOKI-USD,,0.0,0.15415065507910272,0.5245244105206879,0.1412536695577475,0.23468012018113318,0.0,0.6018987439103222,-0.20967743449731058
2021-10-02,4.8999998398358e-05,5.099999907542952e-05,4.8000001697801054e-05,4.999999873689376e-05,3736810,FLOKI-USD,,0.020202714741966197,-0.1310283070833369,0.1278333384373501,0.1366607567883471,0.20927018250919935,0.09653890726204199,0.6530350150688076,-0.19354839656081912
2021-10-03,4.999999873689376e-05,7.500000356230885e-05,4.999999873689376e-05,6.900000153109431e-05,14517413,FLOKI-USD,,0.3220835466210109,0.3220835466210109,0.49643691644207977,0.17556120797518793,0.21001473383826513,1.5336235736157984,0.8359471012657127,0.0
2021-10-04,6.900000153109431e-05,7.500000356230885e-05,5.099999907542952e-05,5.299999975250103e-05,18559821,FLOKI-USD,,-0.26381461790470173,0.12014427825173361,0.1636294039521485,0.18061073363693794,0.2173372673224458,-1.213848969184384,0.8310159406254995,-0.23188407860227367
2021-10-05,5.299999975250103e-05,5.500000042957254e-05,4.70000013592653e-05,5.299999975250103e-05,10785535,FLOKI-USD,,0.0,0.07847164345827533,0.23262229853737798,0.17263846731656945,0.2173372673224458,0.0,0.7943343976090381,-0.23188407860227367
2021-10-06,5.299999975250103e-05,6.299999949987978e-05,4.8000001697801054e-05,6.199999916134402e-05,11312112,FLOKI-USD,,0.15684246263605217,0.23531410609432749,0.3894647611734301,0.17753874859126356,0.2168744040175242,0.7231948986630011,0.8186247215089422,-0.10144930745538894
2021-10-07,6.199999916134402e-05,7.000000186963007e-05,5.700000110664405e-05,6.500000017695129e-05,14930395,FLOKI-USD,,0.0472529010995824,0.26236429245194376,0.1313359853686068,0.1775622924116236,0.2097195209406196,0.22531474842039945,0.8466655446056399,-0.05797103283165084
