date,open,high,low,close,volume,ticker,market_cap,log_ret_1d,log_ret_5d,log_ret_10d,vol_7d,vol_30d,risk_adj_ret_1d,vol_ratio_7d_30d,drawdown_30d
2020-10-20,4.05350399017334,4.081610202789307,3.714379072189331,3.80220103263855,19646467,AVAX-USD,,-0.06321357199407503,-0.08205620960156654,-0.05736825289884247,0.03815775596913297,0.07098697425034932,-0.8904953713217881,0.5375317989264093,-0.27364502001718205
2020-10-21,3.80043888092041,4.108504772186279,3.794333934783936,3.965959072113037,23475819,AVAX-USD,,0.04216759219015482,-0.018615820316435196,-0.03223365495187341,0.036557127784759336,0.07142916829934143,0.5903413576571576,0.5117955123256893,-0.24236143809621946
2020-10-22,3.971724987030029,4.498044013977051,3.96215295791626,4.3144211769104,24178361,AVAX-USD,,0.0842154630989424,0.02782930010839102,-0.023212259947461046,0.05015661338043773,0.07268335371264918,1.1586623180857196,0.6900701579997252,-0.0844299922134023
2020-10-23,4.330928802490234,4.486894130706787,4.149672031402588,4.262105941772461,19482074,AVAX-USD,,-0.012199782796130099,0.034866469713184085,-0.0516557647176484,0.04943640700883647,0.05784866706664161,-0.2108913379469221,0.8545816094930204,-0.0955318893807302
2020-10-24,4.262105941772461,4.352660179138184,4.161980152130127,4.189700126647949,16681037,AVAX-USD,,-0.017134228104299164,0.03383547239459293,0.009507362060884613,0.04819711807099768,0.05460406646888975,-0.31379033123954714,0.8826653615341563,-0.11089723967896348
2020-10-25,4.189700126647949,4.25797176361084,4.105394840240479,4.153210163116455,15517939,AVAX-USD,,-0.008747594052766339,0.08830145033590174,0.0062452407343352645,0.047667292546457914,0.05422559024839418,-0.16131855850154417,0.8790553007925906,-0.10211266444079103
2020-10-26,4.153210163116455,4.479071140289307,4.049677848815918,4.160973072052002,9243755,AVAX-USD,,0.0018673899700877871,0.048001248115834644,0.02938542779939944,0.047054811462065416,0.05386933923709981,0.03466517311208666,0.8734989537361686,-0.10043439212935645
2020-10-27,4.160973072052002,4.3497090339660645,4.043659210205078,4.1222429275512695,17600881,AVAX-USD,,-0.009351543350433799,-0.045565758333541526,-0.01773645822515051,0.03774290932673609,0.053722841481909374,-0.174070155123549,0.702548641985842,-0.0815076840728205
2020-10-28,4.1222429275512695,4.177804946899414,3.93502688407898,4.066606044769287,19435211,AVAX-USD,,-0.013588659184614101,-0.04695463472202562,-0.012088165008841434,0.03604869156187829,0.05092031425395942,-0.26686125927743043,0.7079432263927014,-0.09390434536025904
2020-10-29,4.066606044769287,4.106396198272705,3.7333829402923584,3.775311946868897,6527859,AVAX-USD,,-0.07432574171697633,-0.10414614833470279,-0.07031067594010983,0.02507842344925964,0.052603780364315705,-1.4129353670443794,0.47674184774506884,-0.15880866936509908
2020-10-30,3.775311946868897,3.819171905517578,3.580127000808716,3.714937925338745,28434550,AVAX-USD,,-0.0161210453844385,-0.11151959966637494,-0.023218149330473222,0.02494285066566675,0.05193814780538285,-0.3103893008438726,0.48024143562319493,-0.17226083019881466
2020-10-31,3.714937925338745,3.7435359954833984,3.5851359367370605,3.6483678817749023,20452535,AVAX-USD,,-0.01808205692225141,-0.13146904655871414,-0.08346779844287949,0.024929621034397064,0.05157111908780577,-0.35062370648704805,0.48340275478512523,-0.1870935498029086
2020-11-01,3.6483678817749023,3.716675996780396,3.5559840202331543,3.682663917541504,15953277,AVAX-USD,,0.009356469022288106,-0.11276103418599238,-0.15832679251953388,0.027107011921327546,0.05070462739198644,0.184528898121177,0.534606273935693,-0.17945192220550266
